document-aliases,doc-aliases
create-document-aliases,create
document-alias-information,info
discontinue-a-document-alias,discontinue
document-cover-letters,doc-cover
discontinue-a-cover-letter,discontinue
document-policies,doc-policies
discontinue-a-document-policy,discontinue
documents-used-in-everest,docs
system-documents,sys
assembly-documents,asm
inventory-adjustment-documents,inv-adj
point-of-sale-documents,pos
purchase-documents,purch
purchase-return-documents,purch-ret
sales-returns-documents,sale-ret
flow-control-and-document-defaults,flow-ctrl
document-defaults,defs
document-aliases-defaults,alias-defs
reports-related-to-documents,rpt
flow-control,ctrl
documents-dialog-box-details,doc-frm
miscellaneous,misc
pricing-discounts,disc
setting-up-flow-control-options,opt
miscellaneous-tab,misc
pricing-discounts-tab,disc
reporting-and-printing-preferences,rpt-prt
print-settings,prt
documents,docs
set-printing-preferences,set-prt
set-reporting-preferences,set-rpt
