point-of-sale-transactions,pos-trans
create-a-point-of-sale-document,create-pos-doc
point-of-sale-sales-invoice-profile,pos-si-profile
quantity-brought-to-cash-counter-exceeds-quantity-available,excd-avl-qty
point-of-sale-setup,pos-setup
set-up-a-cash-register,setup
the-cash-register-profile,profile
set-up-a-pole-display,setup
the-pole-display-properties-profile,properties-profile
customer-layaways-through-point-of-sale,customer-layaways-through-pos
point-of-sale-credit-memo-document,pos-cm-doc
accounting-entries-point-of-sale-credit-memo-document,accounting-entries
create-a-point-of-sale-credit-memo-document,pos-create-cm
point-of-sale-receipts,pos-receipts
accounting-entries-payments-from-customers,accounting-entries
accounting-entries-change-due-to-customers,accounting-entries
gift-card-processing-point-of-sales-profile,gift-card-processing-pos-profile
printing-point-of-sale-receipts,printing
processing-credit-card-payments,proc-cc-pmnts
receiving-credit-card-payments-point-of-sale,receiving
card-verification-details,verify-dtls
address-and-security-code-verification-details,avs-and-cvv
prior-authorization-information,prior-auth-info
the-card-verification-dialog-box,verification-dlg
the-payment-details-dialog-box,payment-dlg
point-of-sale-refunds,pos-refunds
processing-credit-card-refunds,processing
pos-cash-register-browser-options,options
create-a-point-of-sale-sales-invoice-profile,pos-create-si
accounting-entries-create-a-point-of-sale-invoice,accounting-entries
the-point-of-sale-sales-invoice-profile,profile
accounting-entries-force-sale,accounting-entries
item-belongs-to-a-third-party,item-belongs-to-3rd
flow-control-preference-for-force-sale,flow-ctrl-prefs
from-within-the-point-of-sale-document,from-within-pos-doc
point-of-sale-sales-invoice-options,options
point-of-sale-sales-invoice-profile-details,details
customer-information,customer-info
document-information,doc-info
document-tab-view-details,tabs-details
item-information,item-info
sales-representative-and-cashier,sales-rep-and-cashier
status-bar-information,status-bar-info
the-point-of-sale-outlook-bar,pos-outlook-bar
point-of-sale-view-menu,view-menu
service-items-in-point-of-sale-documents,service-items
user-interfaces-in-point-of-sale,ui
point-of-sale-browser,browser
point-of-sale-credit-memo-document,pos-cm-doc
point-of-sale-sales-invoice-document,pos-si-doc
optimize-touch-screen-compatibility,optimize
amount-of-payment,pmnt-amnt
accounting-entries-refund-a-point-of-sale-credit-memo-,accnt-entries-refund-cm
back-end-processes-refund-a-point-of-sale-credit-memo-,backend-proc-refund-cm
mark-an-item-as-force-sale,force-sale-item
