lot-tracking,lot-trk
document-tasks-information,doc-tasks-info
document-tracking-information,doc-track-info
vendor-tracking-information,vend-track-info
find-purchase-documents,find-purc-docs
e-mail-purchase-documents,email-purc-docs
miscellaneous-options,misc-options
printing-purchase-documents,prnt-purc-docs
add-on-costs-distribution,addon-costs-distr
freight-estimator,freight-est
utility,utils
sales-purchase-analysis-dialog-box,dialog-box
debit-orders,dos
manufacturer-s-serial-numbers,mnf-serials
committed-items,cmt-items
the-purchase-process,purc-proc
recurring-payments,recur-pmnts
purchase-document-profile,doc-profile
common-purchase-document-options,doc-options
contents-of-a-purchase-document,contents
document-tab-view-details,tabs
purchase-return-document-profile,doc-prof
common-purchase-return-document-options,return-doc-opt
the-purchase-return-process,return-proc
contents-of-a-purchase-return-document,contents
debit-memo-processes,dm-processes
debit-order-processes,do-processes
attaching-items-to-the-debit-order,attaching-items-do
create-a-purchase-invoice,create-pi
convert-an-existing-purchase-order-to-a-purchase-invoice,convert-po-to-pi
purchase-order-processes,po-processes
commit-items-to-a-purchase-order,cmt-items-po
enter-committed-quantities,enter-cmt-qty
item-information,item-info
item-details,details
find-purchase-document-details,find-pur-doc-details
detach-quantities-committed,detach-qty-committed
non-serialized-items,non-ser-items
retrieve-an-item-matrix,retrieve-itm-matrix
status-bar-information,sbar-info
additional-document-details,ex-doc-details
purchase-invoices,pis
purchase-invoice-processes,pi-processes
quantities-received,qty-rcvd
entering-item-quantities,entering-item-qty
create-a-purchase-order,create-po
automatically-generate-purchase-orders,auto-generate-po
vendor-information,vendor-info
purchase-documents,pur-docs
purchase-quote-profile,pq-profile
purchase-receipt-profile,pr-profile
purchase-return-document-browsers,ret-doc-browser
debit-memos-browser,dm-browser
debit-memos,dms
debit-orders-browser,do-browser
debit-quotes-browser,dq-browser
journal-transaction-information,journal-trans-info
create-a-new-purchase-invoice,create-new-pi
the-purchase-invoice-profile,pi-profile
purchase-orders,pos
purchase-receipts,prs
processing-a-purchase-receipt,processing-pr
the-payment-dialog-box,pmnt-dialog-box
create-a-purchase-receipt,create-pr
convert-an-existing-purchase-order-to-a-purchase-receipt,convert-po-to-pr
convert-multiple-purchase-orders-into-a-purchase-receipt,convert-multiple-po-to-pr
create-a-new-purchase-receipt,create-new-pr
the-purchase-receipt-profile,pr-profile
purchase-receipt-processes,pr-processes
de-link-recurring-documents,delink-recur-docs
payments-made-on-recurring-purchase-orders,pmnts-on-recurring-po
process-recurring-purchase-orders,process-recurring-po
view-and-edit-recurring-purchase-orders,upd-rec-po,
transaction-history-information,trans-history-info
purchase-document-browsers,pur-doc-browsers
purchase-quotes-browser,pq-browser
purchase-quotes,pqs
purchase-quote-processes,pq-processes
purchase-return-documents,pur-return-docs
debit-order-profile,do-profile
accepting-refunds,acpt-ref
foreign-currency-information,for-cur-info
journal-transactions-information,jrnl-trans-info
printing-purchase-return-documents,prnt-purc-return-docs
purchase-return-document-browser,purc-return-doc-browser
purchase-receipts-browser,pr-browser
purchase-order-profile,po-profile
debit-memo-profile,dm-profile
debit-quote-profile,dq-profile
