find-utilities,find-utils
find-sales-documents-details,find-sales-docs-details
sales-documents,sales-docs
order-fulfillment,ordr-ff
the-pull-sheet-wizard,wizard
sales-order-selection,so-selection
find-sales-orders-dialog,find-so-dlg
find-sales-orders-details,details
recurring-billing,recur-billing
recurring-sales-order-processes,recur-so-proc
receiving-payments-on-recurring-sales-orders,recv-pmts
sales-document-browser,browser
common-sales-document-browser-options,cmn-opts
sales-document-profile,docs-profile
common-sales-document-options,options
documents,docs
e-mail-document,email
generate-purchase-orders,gen-po
get-latest-exchange-rate,get-fex
return-process,ret-proc
third-party-catalog,3rd-cat
transaction-history,trans-hist
freight-estimation,freight-est
generate-credit-order,gen-co
contents-of-a-sales-document,contents
customer-information,customer-info
document-information,doc-info
document-tab-view-details,tab-details
custom-fields-information,cust-flds
customer-aging-information,aging
customer-tasks-information,tasks
customer-tracking-information,trk
delivery-information,delivery
foreign-currency-information,frgn-cur
other-information,other
payment-information,pmnt
document-tasks-information,tasks
document-tracking-information,trk
journal-transactions-information,jrnl-trans
multimedia-information,media
shipment-tracking-information,ship-trk
transaction-history-information,trans-hist
item-information,item-info
account-details,acnt-dtls
discount-details,disc-dtls
item-details,details
add-items-kits,add-kits
description-notes,descr-notes
item-pricing,pricing
matrix-items-view-dialog-box,matrix-items-dlg
retrieve-items,retrv-items
other-item-details,other
status-bar-information,status-bar-info
sales-invoices,sis
create-a-sales-invoice,create-si
create-a-new-sales-invoice,create-new-si
accounting-entries,accnt-entries
sales-order-processes,so-proc
commit-items-to-a-sales-order,cmt-items
enter-committed-quantities,enter-cmt-qty
non-serialized-items,non-ser
serialized-items,ser
generate-purchase-orders-utility,gen-po-util
generate-a-purchase-order-with-links,gen-po-links
generate-drop-ship-purchase-orders,gen-dropship-po
generate-po-drop-ship-items-browser,browser
processing-purchase-receipts-and-invoices-in-drop-shipments,proc-pr-pi-in-dropships
selecting-items-for-drop-shipment,sel-itms-dropship
generate-purchase-orders,gen-po
create-a-purchase-order,create-po
generate-po-browser,browser
selecting-items-while-creating-a-purchase-order,sel-itms
payments-refunds,pmts-refunds
credit-card-payments,cc-pmts
card-verification-details,cc-verify
card-verification-dialog-box,cc-verify-dlg
payments-on-sales-orders,pmts-on-so
the-receipt-dialog-box,rcpt-dlg
receipt-refund-processes,rcpt-refund-proc
refunds-on-sales-orders,refunds-on-so
refund-through-credit-card,cc-refund
sales-quotes,sqs
create-a-sales-quote,create-sq
convert-a-sales-opportunity,convert-opptnty
sales-quote-processes,sq-proc
converting-lease-rental-quotes-into-orders,cnvrt-lrq-to-so
creating-lease-rental-quotes,create-lrq
the-lease-rent-plan-dialog,lrp-dlg
sales-return-documents,sales-ret-docs
credit-memos,cms
create-a-credit-memo,create-cm
convert-a-credit-order,cnvrt-co
create-a-new-credit-memo,create-new-cm
accounting-entries-creating-a-credit-memo,accnt-entries
credit-memo-processes,cm-proc
collections-from-a-customer-on-credit-memo,collections-on-cm
refunds-to-customers-on-credit-memos,refunds-on-cm
the-refund-dialog-box,refund-dlg
credit-orders,cos
create-a-credit-order,create-co
convert-a-credit-quote,cnvrt-cq
credit-order-processes,co-proc
collections-from-a-customer,collections
accounting-entries-collections-from-customers,accnt-entries
collecting-payments-from-customers-through-a-credit-card,collecting-pmnts-cc
the-collection-dialog-box,dlg
committing-items-to-a-credit-order,cmt-items-to-co
attach-committed-quantities,attach-cmt-qty
auto-serialized-items,auto-ser
committed-items,committed
non-serialized-items,non-ser
serialized-items,ser
credit-orders-information-available,co-info
refunds-to-a-customer,refunds
accounting-entries-refund-a-credit-order,accnt-entries-refund-co
back-end-processes-refund-a-credit-order,back-proc-refund-cc
refund-dialog-box,dlg
refund-payments-to-customers-through-credit-card,refund-via-cc
sales-return-document-profile,sales-ret-doc
common-sales-return-document-options,common-opts
return-process,ret-proc
contents-of-sales-return-document,contents
aging-information,aging
details-information,dtls-info
history-information,hist
quick-aging-options,quick-aging-opts
the-find-sales-orders-dialog-box,find-so-dlg
create-a-drop-ship-purchase-order,create-dropship-po
create-a-purchase-order-linked-to-a-sales-order,create-po-linked-so
processing-linked-purchase-orders,proc-linked-po
selecting-items-while-creating-a-linked-purchase-order,sel-items-creating-po
foreign-curreny-information,frgn-cur
transactions-information,trans-info
